,precision,recall,f1-score,support
benign,0.9923664122137404,0.9848484848484849,0.9885931558935361,132.0
malignant,0.972972972972973,0.9863013698630136,0.979591836734694,73.0
accuracy,0.9853658536585366,0.9853658536585366,0.9853658536585366,0.9853658536585366
macro avg,0.9826696925933567,0.9855749273557493,0.9840924963141151,205.0
weighted avg,0.9854604558011745,0.9853658536585366,0.9853878080955094,205.0
